"","X.1","X","Year","Run","EEZCatch","Total.Catch","Lower"
"1",1,1,1975,485350,NA,NA,NA
"2",2,2,1976,1374607,NA,NA,NA
"3",3,3,1977,2268567,NA,NA,NA
"4",4,4,1978,2096342,NA,NA,NA
"5",5,5,1979,797838,NA,NA,NA
"6",6,6,1980,1481394,NA,NA,NA
"7",7,7,1981,1176410,NA,NA,NA
"8",8,8,1982,2766442,NA,NA,NA
"9",9,9,1983,3981411,NA,NA,NA
"10",10,10,1984,1286678,NA,NA,NA
"11",11,11,1985,2496016,NA,NA,NA
"12",12,12,1986,2945961,NA,NA,NA
"13",13,13,1987,9391896,NA,NA,NA
"14",14,14,1988,6054519,NA,NA,NA
"15",15,15,1989,6656274,NA,NA,NA
"16",16,16,1990,3224183,NA,NA,NA
"17",17,17,1991,2182082,NA,NA,NA
"18",18,18,1992,8235298,NA,NA,NA
"19",19,19,1993,4446195,NA,NA,NA
"20",20,20,1994,3886918,NA,NA,NA
"21",21,21,1995,2628555,NA,NA,NA
"22",22,22,1996,3696067,NA,NA,NA
"23",23,23,1997,4610042,NA,NA,NA
"24",24,24,1998,1902219,NA,NA,NA
"25",25,25,1999,2984568,341000,2035000,7e+05
"26",26,26,2000,1814779,181000,1118000,7e+05
"27",27,27,2001,2189670,221000,1451000,7e+05
"28",28,28,2002,3466762,360000,2340000,7e+05
"29",29,29,2003,4439571,431000,3037000,7e+05
"30",30,30,2004,5705141,716000,4015000,7e+05
"31",31,31,2005,6109173,857000,4455000,7e+05
"32",32,32,2006,2848597,107000,957000,7e+05
"33",33,33,2007,3601777,774000,2638000,7e+05
"34",34,34,2008,2082431,220000,1374000,7e+05
"35",35,35,2009,2430414,328000,1582000,7e+05
"36",36,36,2010,3596458,672000,2558000,7e+05
"37",37,37,2011,6263091,1140000,4982000,7e+05
"38",38,38,2012,4769681,1214000,3557000,7e+05
"39",39,39,2013,3628121,683000,2648000,7e+05
"40",40,40,2014,3404034,504000,2186000,7e+05
"41",41,41,2015,3819016,238000,2419000,7e+05
"42",42,42,2016,3711842,4e+05,2594000,7e+05
"43",43,43,2017,2595720,202000,1539000,7e+05
"44",44,44,2018,1867998,97000,735000,7e+05
"45",45,45,2019,3542442,252000,2085000,7e+05
"46",46,46,2020,2394018,50000,788000,750000
"47",47,47,2021,3992341,256000,1986000,750000
"48",48,48,2022,2929479,330000,1723000,750000
"49",49,49,2023,3552933,362000,1668000,750000
"50",50,50,2024,3724000,189000,2169000,750000
