"","Year","Run size","Escapement","Escapement goal","Total catch","State catch","F_state","EEZ Catch"," F_EEZ","MFMT","Potential Yield EEZ"
"1",1999,774350,125775,150000,648575,491751,0.635,156824,NA,NA,132599
"2",2000,587485,152627,150000,434858,315745,0.537,119113,NA,NA,121740
"3",2001,583082,127001,150000,456081,347070,0.595,109011,NA,NA,86012
"4",2002,803272,169074,110000,634198,490499,0.611,143699,NA,NA,202773
"5",2003,893443,273111,110000,620332,386378,0.432,233954,0.209,0.258,397065
"6",2004,852876,93438,110000,759438,541637,0.635,217801,0.221,0.271,201239
"7",2005,727514,51136,110000,676378,615005,0.845,61373,0.198,0.23,2509
"8",2006,380568,124613,110000,255955,217409,0.571,38546,0.19,0.234,53159
"9",2007,758728,107849,110000,650879,421145,0.555,229734,0.216,0.244,227583
"10",2008,533554,109485,110000,424069,338963,0.635,85106,0.194,0.175,84591
"11",2009,726587,186747,80000,539840,403841,0.556,135999,0.176,0.195,242746
"12",2010,840266,203360,80000,636906,435198,0.518,201708,0.213,0.288,325068
"13",2011,1023813,189165,80000,834648,580438,0.567,254210,0.234,0.32,363375
"14",2012,563588,90821,80000,472767,306619,0.544,166148,0.229,0.323,176969
"15",2013,632105,125376,80000,506729,362845,0.574,143884,0.238,0.343,189260
"16",2014,574123,104948,80000,469175,332737,0.58,136438,0.248,0.335,161386
"17",2015,748286,243324,80000,504962,434473,0.581,70489,0.218,0.318,233813
"18",2016,429528,121327,80000,308201,259211,0.603,48990,0.192,0.289,90317
"19",2017,812132,156052,65000,656080,524215,0.645,131865,0.166,0.281,222917
"20",2018,507948,146090,65000,361858,282595,0.556,79263,0.152,0.283,160353
"21",2019,604263,155558,65000,448705,375656,0.622,73049,0.13,0.281,163607
"22",2020,338369,107527,65000,230842,217700,0.643,13142,0.129,0.257,55669
"23",2021,538072,170757,65000,367315,313012,0.582,54303,0.126,0.272,160060
"24",2022,348305,114546,65000,233759,101030,0.29,132729,0.151,0.309,182275
"25",2023,270412,82833,65000,187579,4167,0.015,183412,0.218,0.363,201245
