"","Year","Total catch","EEZ catch","Cumulative EEZ catch"
"1",1999,NA,155,NA
"2",2000,NA,116,NA
"3",2001,NA,211,NA
"4",2002,NA,122,NA
"5",2003,NA,428,NA
"6",2004,NA,306,1338
"7",2005,NA,512,1695
"8",2006,NA,410,1989
"9",2007,NA,402,2180
"10",2008,NA,127,2185
"11",2009,NA,480,2237
"12",2010,NA,205,2136
"13",2011,NA,204,1828
"14",2012,NA,94,1512
"15",2013,NA,179,1289
"16",2014,NA,131,1293
"17",2015,NA,156,969
"18",2016,NA,231,995
"19",2017,NA,75,866
"20",2018,NA,260,1032
"21",2019,NA,81,934
"22",2020,NA,76,879
"23",2021,NA,87,810
"24",2022,NA,80,659
"25",2023,NA,51,635
"26",2024,NA,31,406
